Name,Age,Gender,Grade
Ahmed Malik,18,Male,60
Tariq Nawaz,20,Male,70.5
Tariq Raza,18,Male,75
Hamza Hussain,20,Male,78
Usman Chaudhry,21,Male,79.5
Usman Raza,22,Male,81
Hamza Sheikh,18,Male,82.5
Ali Sheikh,19,Male,84
Rizwan Chaudhry,20,Male,85.5
Ahmed Qureshi,18,Male,90
Ali Qureshi,21,Male,94.5
Bilal Chaudhry,19,Male,99
Usman Nawaz,21,Male,102
Ali Iqbal,22,Male,103.5
Usman Qureshi,18,Male,105
Bilal Hussain,19,Male,106.5
Fahad Sheikh,22,Male,118.5
Hamza Raza,22,Male,86
Raza,25,Male,50.5
Usman,23,Male,60
Saqib,19,Male,70.1
Raza,25,Male,50.5
Waqas,25,Male,50.5
