Name,Age,Gender,Grade
Ahmed Malik,18,Male,60
Sana Hussain,19,Female,61.5
Sana Sheikh,20,Female,63
Mehwish Qureshi,21,Female,64.5
Fatima Butt,22,Female,66
Laiba Qureshi,18,Female,67.5
Sara Butt,19,Female,69
Tariq Nawaz,20,Male,70.5
Ayesha Chaudhry,21,Female,72
Nida Sheikh,22,Female,73.5
Tariq Raza,18,Male,75
Laiba Iqbal,19,Female,76.5
Hamza Hussain,20,Male,78
Usman Chaudhry,21,Male,79.5
Usman Raza,22,Male,81
Hamza Sheikh,18,Male,82.5
Ali Sheikh,19,Male,84
Rizwan Chaudhry,20,Male,85.5
Anum Iqbal,21,Female,87
Sana Raza,22,Female,88.5
Ahmed Qureshi,18,Male,90
Sara Qureshi,19,Female,91.5
Sana Butt,20,Female,93
Ali Qureshi,21,Male,94.5
Fatima Iqbal,22,Female,96
Mehwish Malik,18,Female,97.5
Bilal Chaudhry,19,Male,99
Sana Malik,20,Female,100.5
Usman Nawaz,21,Male,102
Ali Iqbal,22,Male,103.5
Usman Qureshi,18,Male,105
Bilal Hussain,19,Male,106.5
Laiba Sheikh,20,Female,108
Sana Iqbal,21,Female,109.5
Laiba Nawaz,22,Female,111
Laiba Chaudhry,18,Female,112.5
Ayesha Qureshi,19,Female,114
Sana Chaudhry,20,Female,115.5
Sana Khan,21,Female,117
Fahad Sheikh,22,Male,118.5
Anum Raza,18,Female,80
Fatima Raza,19,Female,81.5
Zara Hussain,20,Female,83
Ayesha Khan,21,Female,84.5
Hamza Raza,22,Male,86
Fatima Khan,18,Female,87.5
Nida Butt,19,Female,89
Sara Raza,20,Female,90.5
Nida Iqbal,21,Female,92
Fatima Hussain,22,Female,93.5
Raza,25,Male,50.5
Usman,23,Male,60
Saqib,19,Male,70.1
Aleeza,22,Female,90
Raza,25,Male,50.5
Waqas,25,Male,50.5
